trade_id,location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,time,value,
180,BEL,BOP,TOT,MLN_USD,A,2016,2620.865,
181,BEL,BOP,TOT,MLN_USD,A,2017,6167.237,
182,BEL,BOP,TOT,MLN_USD,A,2018,-5406.429,
199,CAN,BOP,TOT,MLN_USD,A,1981,-12835.11,
200,CAN,BOP,TOT,MLN_USD,A,1982,1501.94,
201,CAN,BOP,TOT,MLN_USD,A,1983,-2858.852,
202,CAN,BOP,TOT,MLN_USD,A,1984,-1668.439,
203,CAN,BOP,TOT,MLN_USD,A,1985,-6060.068,
204,CAN,BOP,TOT,MLN_USD,A,1986,-11597.37,
205,CAN,BOP,TOT,MLN_USD,A,1987,-13980.7,
206,CAN,BOP,TOT,MLN_USD,A,1988,-15590.28,
207,CAN,BOP,TOT,MLN_USD,A,1989,-22448.67,
208,CAN,BOP,TOT,MLN_USD,A,1990,-20431.57,
209,CAN,BOP,TOT,MLN_USD,A,1991,-22838.44,
210,CAN,BOP,TOT,MLN_USD,A,1992,-21519.99,
211,CAN,BOP,TOT,MLN_USD,A,1993,-22180.14,
212,CAN,BOP,TOT,MLN_USD,A,1994,-13775.83,
213,CAN,BOP,TOT,MLN_USD,A,1995,-4966.404,
214,CAN,BOP,TOT,MLN_USD,A,1996,2613.365,
215,CAN,BOP,TOT,MLN_USD,A,1997,-8721.977,
216,CAN,BOP,TOT,MLN_USD,A,1998,-8551.445,
217,CAN,BOP,TOT,MLN_USD,A,1999,1218.452,
218,CAN,BOP,TOT,MLN_USD,A,2000,18946.62,
219,CAN,BOP,TOT,MLN_USD,A,2001,16434.52,
220,CAN,BOP,TOT,MLN_USD,A,2002,13175.51,
221,CAN,BOP,TOT,MLN_USD,A,2003,11160.5,
222,CAN,BOP,TOT,MLN_USD,A,2004,24069.16,
223,CAN,BOP,TOT,MLN_USD,A,2005,22879.49,
224,CAN,BOP,TOT,MLN_USD,A,2006,19032.4,
225,CAN,BOP,TOT,MLN_USD,A,2007,11859.53,
226,CAN,BOP,TOT,MLN_USD,A,2008,4104.602,
227,CAN,BOP,TOT,MLN_USD,A,2009,-40307.59,
228,CAN,BOP,TOT,MLN_USD,A,2010,-57532.9,
229,CAN,BOP,TOT,MLN_USD,A,2011,-48713.83,
230,CAN,BOP,TOT,MLN_USD,A,2012,-64634.03,
231,CAN,BOP,TOT,MLN_USD,A,2013,-58038.69,
232,CAN,BOP,TOT,MLN_USD,A,2014,-41783.41,
233,CAN,BOP,TOT,MLN_USD,A,2015,-54527.26,
234,CAN,BOP,TOT,MLN_USD,A,2016,-47232.2,
235,CAN,BOP,TOT,MLN_USD,A,2017,-46580.36,
236,CAN,BOP,TOT,MLN_USD,A,2018,-42857.17,
275,CZE,BOP,TOT,MLN_USD,A,1993,455.7159,
276,CZE,BOP,TOT,MLN_USD,A,1994,-786.5465,
277,CZE,BOP,TOT,MLN_USD,A,1995,-1369.023,
